Query;Text
1;Cooking recipes for beginners in the kitchen
2;Global warming and the climate change
3;Politics, Geopolitics and the future of the world
4;Broadway musicals, theater and the arts
6;Why do mail, post offices and postal services take so long
7;Elections, ballots, democrats and republicans
8;Robotics, technology and artificial intelligence
9;Parenting, how to be moms and dads
10;Books, reading and writing
11;Self-improvement and motivation
12;Money, career and how to become a millionaire